regiao,cod_uf,uf_pad,uf_sigla,cod_regsaud,regiao_saude,cod_municipio,cod_municipiodv,municipio,ano,populacao
Região Centro-Oeste,52,GOIAS,GO,52001,Central,520005,5200050,Abadia de Goiás,2020,8958
Região Centro-Oeste,52,GOIAS,GO,52011,Pirineus,520010,5200100,Abadiânia,2020,20461
Região Centro-Oeste,52,GOIAS,GO,52015,Sudoeste I,520013,5200134,Acreúna,2020,22546
Região Centro-Oeste,52,GOIAS,GO,52010,Oeste II,520015,5200159,Adelândia,2020,2516
Região Centro-Oeste,52,GOIAS,GO,52003,Entorno Norte,520017,5200175,Água Fria de Goiás,2020,5793
Região Centro-Oeste,52,GOIAS,GO,52017,Sul,520020,5200209,Água Limpa,2020,1830
Região Centro-Oeste,52,GOIAS,GO,52004,Entorno Sul,520025,5200258,Águas Lindas de Goiás,2020,217698
Região Centro-Oeste,52,GOIAS,GO,52011,Pirineus,520030,5200308,Alexânia,2020,28010
Região Centro-Oeste,52,GOIAS,GO,52017,Sul,520050,5200506,Aloândia,2020,1986
Região Centro-Oeste,52,GOIAS,GO,52014,Serra da Mesa,520055,5200555,Alto Horizonte,2020,6605
Região Centro-Oeste,52,GOIAS,GO,52003,Entorno Norte,520060,5200605,Alto Paraíso de Goiás,2020,7688
Região Centro-Oeste,52,GOIAS,GO,52007,Nordeste II,520080,5200803,Alvorada do Norte,2020,8705
Região Centro-Oeste,52,GOIAS,GO,52014,Serra da Mesa,520082,5200829,Amaralina,2020,3845
Região Centro-Oeste,52,GOIAS,GO,52012,Rio Vermelho,520085,5200852,Americano do Brasil,2020,6164
Região Centro-Oeste,52,GOIAS,GO,52009,Oeste I,520090,5200902,Amorinópolis,2020,3069
Região Centro-Oeste,52,GOIAS,GO,52011,Pirineus,520110,5201108,Anápolis,2020,391772
Região Centro-Oeste,52,GOIAS,GO,52005,Estrada de Ferro,520120,5201207,Anhanguera,2020,1160
Região Centro-Oeste,52,GOIAS,GO,52001,Central,520130,5201306,Anicuns,2020,21981
Região Centro-Oeste,52,GOIAS,GO,52002,Centro Sul,520140,5201405,Aparecida de Goiânia,2020,590146
Região Centro-Oeste,52,GOIAS,GO,52015,Sudoeste I,520145,5201454,Aparecida do Rio Doce,2020,2474
Região Centro-Oeste,52,GOIAS,GO,52016,Sudoeste II,520150,5201504,Aporé,2020,4232
Região Centro-Oeste,52,GOIAS,GO,52001,Central,520160,5201603,Araçu,2020,3486
Região Centro-Oeste,52,GOIAS,GO,52009,Oeste I,520170,5201702,Aragarças,2020,20273
Região Centro-Oeste,52,GOIAS,GO,52002,Centro Sul,520180,5201801,Aragoiânia,2020,10496
Região Centro-Oeste,52,GOIAS,GO,52012,Rio Vermelho,520215,5202155,Araguapaz,2020,7783
Região Centro-Oeste,52,GOIAS,GO,52009,Oeste I,520235,5202353,Arenópolis,2020,2536
Região Centro-Oeste,52,GOIAS,GO,52012,Rio Vermelho,520250,5202502,Aruanã,2020,10110
Região Centro-Oeste,52,GOIAS,GO,52010,Oeste II,520260,5202601,Aurilândia,2020,3058
Região Centro-Oeste,52,GOIAS,GO,52001,Central,520280,5202809,Avelinópolis,2020,2409
Região Centro-Oeste,52,GOIAS,GO,52009,Oeste I,520310,5203104,Baliza,2020,5280
Região Centro-Oeste,52,GOIAS,GO,52018,São Patrício II,520320,5203203,Barro Alto,2020,11408
Região Centro-Oeste,52,GOIAS,GO,52002,Centro Sul,520330,5203302,Bela Vista de Goiás,2020,30492
Região Centro-Oeste,52,GOIAS,GO,52009,Oeste I,520340,5203401,Bom Jardim de Goiás,2020,8869
Região Centro-Oeste,52,GOIAS,GO,52017,Sul,520350,5203500,Bom Jesus de Goiás,2020,25648
Região Centro-Oeste,52,GOIAS,GO,52002,Centro Sul,520355,5203559,Bonfinópolis,2020,9919
Região Centro-Oeste,52,GOIAS,GO,52008,Norte,520357,5203575,Bonópolis,2020,4493
Região Centro-Oeste,52,GOIAS,GO,52001,Central,520360,5203609,Brazabrantes,2020,3746
Região Centro-Oeste,52,GOIAS,GO,52012,Rio Vermelho,520380,5203807,Britânia,2020,5797
Região Centro-Oeste,52,GOIAS,GO,52017,Sul,520390,5203906,Buriti Alegre,2020,9484
Região Centro-Oeste,52,GOIAS,GO,52010,Oeste II,520393,5203939,Buriti de Goiás,2020,2476
Região Centro-Oeste,52,GOIAS,GO,52007,Nordeste II,520396,5203962,Buritinópolis,2020,3283
Região Centro-Oeste,52,GOIAS,GO,52003,Entorno Norte,520400,5204003,Cabeceiras,2020,8046
Região Centro-Oeste,52,GOIAS,GO,52015,Sudoeste I,520410,5204102,Cachoeira Alta,2020,12666
Região Centro-Oeste,52,GOIAS,GO,52010,Oeste II,520420,5204201,Cachoeira de Goiás,2020,1342
Região Centro-Oeste,52,GOIAS,GO,52017,Sul,520425,5204250,Cachoeira Dourada,2020,8031
Região Centro-Oeste,52,GOIAS,GO,52015,Sudoeste I,520430,5204300,Caçu,2020,16270
Região Centro-Oeste,52,GOIAS,GO,52016,Sudoeste II,520440,5204409,Caiapônia,2020,19107
Região Centro-Oeste,52,GOIAS,GO,52005,Estrada de Ferro,520450,5204508,Caldas Novas,2020,93196
Região Centro-Oeste,52,GOIAS,GO,52002,Centro Sul,520455,5204557,Caldazinha,2020,3848
Região Centro-Oeste,52,GOIAS,GO,52001,Central,520460,5204607,Campestre de Goiás,2020,3649
Região Centro-Oeste,52,GOIAS,GO,52008,Norte,520465,5204656,Campinaçu,2020,3632
Região Centro-Oeste,52,GOIAS,GO,52014,Serra da Mesa,520470,5204706,Campinorte,2020,12764
Região Centro-Oeste,52,GOIAS,GO,52005,Estrada de Ferro,520480,5204805,Campo Alegre de Goiás,2020,7738
Região Centro-Oeste,52,GOIAS,GO,52011,Pirineus,520485,5204854,Campo Limpo de Goiás,2020,7940
Região Centro-Oeste,52,GOIAS,GO,52006,Nordeste I,520490,5204904,Campos Belos,2020,20007
Região Centro-Oeste,52,GOIAS,GO,52013,São Patrício I,520495,5204953,Campos Verdes,2020,1830
Região Centro-Oeste,52,GOIAS,GO,52013,São Patrício I,520500,5205000,Carmo do Rio Verde,2020,10186
Região Centro-Oeste,52,GOIAS,GO,52015,Sudoeste I,520505,5205059,Castelândia,2020,3407
Região Centro-Oeste,52,GOIAS,GO,52005,Estrada de Ferro,520510,5205109,Catalão,2020,110983
Região Centro-Oeste,52,GOIAS,GO,52001,Central,520520,5205208,Caturaí,2020,5101
Região Centro-Oeste,52,GOIAS,GO,52006,Nordeste I,520530,5205307,Cavalcante,2020,9725
Região Centro-Oeste,52,GOIAS,GO,52013,São Patrício I,520540,5205406,Ceres,2020,22306
Região Centro-Oeste,52,GOIAS,GO,52002,Centro Sul,520545,5205455,Cezarina,2020,8703
Região Centro-Oeste,52,GOIAS,GO,52016,Sudoeste II,520547,5205471,Chapadão do Céu,2020,10486
